"","quadratNew","treatment","thermal","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","THC1-1","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","THC1-10","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3","THC1-2","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4","THC1-3","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"5","THC1-4","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","THC1-5","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","THC1-6","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8","THC1-7","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","THC1-8","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10","THC1-9","burned grazed","cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","THM1-1","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"12","THM1-10","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"13","THM1-2","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"14","THM1-3","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"15","THM1-4","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"16","THM1-5","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"17","THM1-6","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"18","THM1-7","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"19","THM1-8","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"20","THM1-9","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"21","THM2-1","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"22","THM2-10","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"23","THM2-2","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"24","THM2-3","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"25","THM2-4","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"26","THM2-5","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"27","THM2-6","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28","THM2-7","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"29","THM2-8","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"30","THM2-9","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","THM3-1","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","THM3-10","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"33","THM3-2","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"34","THM3-3","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35","THM3-4","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","THM3-5","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","THM3-6","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"38","THM3-7","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"39","THM3-8","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"40","THM3-9","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","THM4-1","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","THM4-10","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","THM4-2","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"44","THM4-3","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"45","THM4-4","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"46","THM4-5","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"47","THM4-6","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"48","THM4-7","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"49","THM4-8","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"50","THM4-9","burned grazed","moderate","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"51","THSWALE2-1","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"52","THSWALE2-10","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"53","THSWALE2-2","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"54","THSWALE2-3","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"55","THSWALE2-4","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"56","THSWALE2-5","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"57","THSWALE2-6","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"58","THSWALE2-7","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"59","THSWALE2-8","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"60","THSWALE2-9","burned grazed","?","","","","","","1","1","","","","","","","","","","",""
"61","THVC1-1","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"62","THVC1-10","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1"
"63","THVC1-2","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"64","THVC1-3","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"65","THVC1-4","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"66","THVC1-5","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"67","THVC1-6","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"68","THVC1-7","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"69","THVC1-8","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"70","THVC1-9","burned grazed","very cool","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"71","THVW1-1","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"72","THVW1-10","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"73","THVW1-2","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"74","THVW1-3","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"75","THVW1-4","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"76","THVW1-5","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"77","THVW1-6","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"78","THVW1-7","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"79","THVW1-8","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"80","THVW1-9","burned grazed","very warm","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
