,quadratAllTime,quadratIndYear,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,,PGEC1-1,,,,,,1,,,,,,,,,,,,
2,,PGEC1-10,,,,,,1,,,,,,,,,,,,
3,,PGEC1-2,,,,,,1,,,,,,,,,,,,
4,,PGEC1-3,,,,,,1,,,,,,,,,,,,
5,,PGEC1-4,,,,,,1,,,,,,,,,,,,
6,,PGEC1-5,,,,,,1,,,,,,,,,,,,
7,,PGEC1-6,,,,,,1,,,,,,,,,,,,
8,,PGEC1-7,,,,,,1,,,,,,,,,,,,
9,,PGEC1-8,,,,,,1,,,,,,,,,,,,
10,,PGEC1-9,,,,,,1,,,,,,,,,,,,
11,,PGEC2-1,,,,,,1,,,,,1,,,,,,,
12,,PGEC2-10,,,,,,1,,,,,1,,,,,,,
13,,PGEC2-2,,,,,,1,,,,,1,,,,,,,
14,,PGEC2-3,,,,,,1,,,,,1,,,,,,,
15,,PGEC2-4,,,,,,1,,,,,1,,,,,,,
16,,PGEC2-5,,,,,,1,,,,,1,,,,,,,
17,,PGEC2-6,,,,,,1,,,,,1,,,,,,,
18,,PGEC2-7,,,,,,1,,,,,1,,,,,,,
19,,PGEC2-8,,,,,,1,,,,,1,,,,,,,
20,,PGEC2-9,,,,,,1,,,,,1,,,,,,,
21,,PGEM1-1,,,,,,1,,,,,,,,,,,,
22,,PGEM1-10,,,,,,1,,,,,,,,,,,,
23,,PGEM1-2,,,,,,1,,,,,,,,,,,,
24,,PGEM1-3,,,,,,1,,,,,,,,,,,,
25,,PGEM1-4,,,,,,1,,,,,,,,,,,,
26,,PGEM1-5,,,,,,1,,,,,,,,,,,,
27,,PGEM1-6,,,,,,1,,,,,,,,,,,,
28,,PGEM1-7,,,,,,1,,,,,,,,,,,,
29,,PGEM1-8,,,,,,1,,,,,,,,,,,,
30,,PGEM1-9,,,,,,1,,,,,,,,,,,,
31,,PGEM2-1,,,,,,1,,,,,1,,,,,,,
32,,PGEM2-10,,,,,,1,,,,,1,,,,,,,
33,,PGEM2-2,,,,,,1,,,,,1,,,,,,,
34,,PGEM2-3,,,,,,1,,,,,1,,,,,,,
35,,PGEM2-4,,,,,,1,,,,,1,,,,,,,
36,,PGEM2-5,,,,,,1,,,,,1,,,,,,,
37,,PGEM2-6,,,,,,1,,,,,1,,,,,,,
38,,PGEM2-7,,,,,,1,,,,,1,,,,,,,
39,,PGEM2-8,,,,,,1,,,,,1,,,,,,,
40,,PGEM2-9,,,,,,1,,,,,1,,,,,,,
41,,PGEM3-1,,,,,,1,,,,,1,,,,,,,
42,,PGEM3-10,,,,,,1,,,,,1,,,,,,,
43,,PGEM3-2,,,,,,1,,,,,1,,,,,,,
44,,PGEM3-3,,,,,,1,,,,,1,,,,,,,
45,,PGEM3-4,,,,,,1,,,,,1,,,,,,,
46,,PGEM3-5,,,,,,1,,,,,1,,,,,,,
47,,PGEM3-6,,,,,,1,,,,,1,,,,,,,
48,,PGEM3-7,,,,,,1,,,,,1,,,,,,,
49,,PGEM3-8,,,,,,1,,,,,1,,,,,,,
50,,PGEM3-9,,,,,,1,,,,,1,,,,,,,
51,,PGEM4-1,,,,,,1,,,,,,,,,,,,
52,,PGEM4-10,,,,,,1,,,,,,,,,,,,
53,,PGEM4-2,,,,,,1,,,,,,,,,,,,
54,,PGEM4-3,,,,,,1,,,,,,,,,,,,
55,,PGEM4-4,,,,,,1,,,,,,,,,,,,
56,,PGEM4-5,,,,,,1,,,,,,,,,,,,
57,,PGEM4-6,,,,,,1,,,,,,,,,,,,
58,,PGEM4-7,,,,,,1,,,,,,,,,,,,
59,,PGEM4-8,,,,,,1,,,,,,,,,,,,
60,,PGEM4-9,,,,,,1,,,,,,,,,,,,
61,,PGESWALE1-1,,,,,,1,,,,,,,,,,,,
62,,PGESWALE1-10,,,,,,1,,,,,,,,,,,,
63,,PGESWALE1-2,,,,,,1,,,,,,,,,,,,
64,,PGESWALE1-3,,,,,,1,,,,,,,,,,,,
65,,PGESWALE1-4,,,,,,1,,,,,,,,,,,,
66,,PGESWALE1-5,,,,,,1,,,,,,,,,,,,
67,,PGESWALE1-6,,,,,,1,,,,,,,,,,,,
68,,PGESWALE1-7,,,,,,1,,,,,,,,,,,,
69,,PGESWALE1-8,,,,,,1,,,,,,,,,,,,
70,,PGESWALE1-9,,,,,,1,,,,,,,,,,,,
71,,PGEVC1-01,,,,,,,,,,,,,,,,,1,
72,,PGEVC1-02,,,,,,,,,,,,,,,,,1,
73,,PGEVC1-03,,,,,,,,,,,,,,,,,1,
74,,PGEVC1-04,,,,,,,,,,,,,,,,,1,
75,,PGEVC1-05,,,,,,,,,,,,,,,,,1,
76,,PGEVC1-06,,,,,,,,,,,,,,,,,1,
77,,PGEVC1-07,,,,,,,,,,,,,,,,,1,
78,,PGEVC1-08,,,,,,,,,,,,,,,,,1,
79,,PGEVC1-09,,,,,,,,,,,,,,,,,1,
80,,PGEVC1-1,,,,,,1,,,,,1,,,,1,1,,1
81,,PGEVC1-10,,,,,,1,,,,,1,,,,1,1,1,1
82,,PGEVC1-2,,,,,,1,,,,,1,,,,1,1,,1
83,,PGEVC1-3,,,,,,1,,,,,1,,,,1,1,,1
84,,PGEVC1-4,,,,,,1,,,,,1,,,,1,1,,1
85,,PGEVC1-5,,,,,,1,,,,,1,,,,1,1,,1
86,,PGEVC1-6,,,,,,1,,,,,1,,,,1,1,,1
87,,PGEVC1-7,,,,,,1,,,,,1,,,,1,1,,1
88,,PGEVC1-8,,,,,,1,,,,,1,,,,1,1,,1
89,,PGEVC1-9,,,,,,1,,,,,1,,,,1,1,,1
90,,PGEVC2-1,,,,,,1,,,,,,,,,,,,
91,,PGEVC2-10,,,,,,1,,,,,,,,,,,,
92,,PGEVC2-2,,,,,,1,,,,,,,,,,,,
93,,PGEVC2-3,,,,,,1,,,,,,,,,,,,
94,,PGEVC2-4,,,,,,1,,,,,,,,,,,,
95,,PGEVC2-5,,,,,,1,,,,,,,,,,,,
96,,PGEVC2-6,,,,,,1,,,,,,,,,,,,
97,,PGEVC2-7,,,,,,1,,,,,,,,,,,,
98,,PGEVC2-8,,,,,,1,,,,,,,,,,,,
99,,PGEVC2-9,,,,,,1,,,,,,,,,,,,
100,,PGEVW1-1,,,,,,1,,,,,,,,,,,,
101,,PGEVW1-10,,,,,,1,,,,,,,,,,,,
102,,PGEVW1-2,,,,,,1,,,,,,,,,,,,
103,,PGEVW1-3,,,,,,1,,,,,,,,,,,,
104,,PGEVW1-4,,,,,,1,,,,,,,,,,,,
105,,PGEVW1-5,,,,,,1,,,,,,,,,,,,
106,,PGEVW1-6,,,,,,1,,,,,,,,,,,,
107,,PGEVW1-7,,,,,,1,,,,,,,,,,,,
108,,PGEVW1-8,,,,,,1,,,,,,,,,,,,
109,,PGEVW1-9,,,,,,1,,,,,,,,,,,,
110,,PGEVW2-1,,,,,,1,,,,,,,,,,,,
111,,PGEVW2-10,,,,,,1,,,,,,,,,,,,
112,,PGEVW2-2,,,,,,1,,,,,,,,,,,,
113,,PGEVW2-3,,,,,,1,,,,,,,,,,,,
114,,PGEVW2-4,,,,,,1,,,,,,,,,,,,
115,,PGEVW2-5,,,,,,1,,,,,,,,,,,,
116,,PGEVW2-6,,,,,,1,,,,,,,,,,,,
117,,PGEVW2-7,,,,,,1,,,,,,,,,,,,
118,,PGEVW2-8,,,,,,1,,,,,,,,,,,,
119,,PGEVW2-9,,,,,,1,,,,,,,,,,,,
120,,PGEW1-01,,,,,,,,,,,,,,,1,1,1,1
121,,PGEW1-02,,,,,,,,,,,,,,,1,1,1,1
122,,PGEW1-03,,,,,,,,,,,,,,,1,1,1,1
123,,PGEW1-04,,,,,,,,,,,,,,,1,1,1,1
124,,PGEW1-05,,,,,,,,,,,,,,,1,1,1,1
125,,PGEW1-06,,,,,,,,,,,,,,,1,1,1,1
126,,PGEW1-07,,,,,,,,,,,,,,,1,1,1,1
127,,PGEW1-08,,,,,,,,,,,,,,,1,1,1,1
128,,PGEW1-09,,,,,,,,,,,,,,,1,1,1,1
129,,PGEW1-1,,,,,,1,,,,,1,,,,,,,
130,,PGEW1-10,,,,,,1,,,,,1,,,,1,1,1,1
131,,PGEW1-2,,,,,,1,,,,,1,,,,,,,
132,,PGEW1-3,,,,,,1,,,,,1,,,,,,,
133,,PGEW1-4,,,,,,1,,,,,1,,,,,,,
134,,PGEW1-5,,,,,,1,,,,,1,,,,,,,
135,,PGEW1-6,,,,,,1,,,,,1,,,,,,,
136,,PGEW1-7,,,,,,1,,,,,1,,,,,,,
137,,PGEW1-8,,,,,,1,,,,,1,,,,,,,
138,,PGEW1-9,,,,,,1,,,,,1,,,,,,,
139,,PGEW2-1,,,,,,1,,,,,,,,,,,,
140,,PGEW2-10,,,,,,1,,,,,,,,,,,,
141,,PGEW2-2,,,,,,1,,,,,,,,,,,,
142,,PGEW2-3,,,,,,1,,,,,,,,,,,,
143,,PGEW2-4,,,,,,1,,,,,,,,,,,,
144,,PGEW2-5,,,,,,1,,,,,,,,,,,,
145,,PGEW2-6,,,,,,1,,,,,,,,,,,,
146,,PGEW2-7,,,,,,1,,,,,,,,,,,,
147,,PGEW2-8,,,,,,1,,,,,,,,,,,,
148,,PGEW2-9,,,,,,1,,,,,,,,,,,,
149,,THB1-1,,,1,1,,,,,,,,,,,,,,
150,,THB1-10,,,1,1,,,,,,,,,,,,,,
151,,THB1-2,,,1,1,,,,,,,,,,,,,,
152,,THB1-3,,,1,1,,,,,,,,,,,,,,
153,,THB1-4,,,1,1,,,,,,,,,,,,,,
154,,THB1-5,,,1,1,,,,,,,,,,,,,,
155,,THB1-6,,,1,1,,,,,,,,,,,,,,
156,,THB1-7,,,1,1,,,,,,,,,,,,,,
157,,THB1-8,,,1,1,,,,,,,,,,,,,,
158,,THB1-9,,,1,1,,,,,,,,,,,,,,
159,,THB2-1,,,1,1,,,,,,,,,,,,,,
160,,THB2-10,,,1,1,,,,,,,,,,,,,,
161,,THB2-2,,,1,1,,,,,,,,,,,,,,
162,,THB2-3,,,1,1,,,,,,,,,,,,,,
163,,THB2-4,,,1,1,,,,,,,,,,,,,,
164,,THB2-5,,,1,1,,,,,,,,,,,,,,
165,,THB2-6,,,1,1,,,,,,,,,,,,,,
166,,THB2-7,,,1,1,,,,,,,,,,,,,,
167,,THB2-8,,,1,1,,,,,,,,,,,,,,
168,,THB2-9,,,1,1,,,,,,,,,,,,,,
169,,THBUGM1-1,,,,,,1,1,1,1,1,1,1,,,,,,
170,,THBUGM1-10,,,,,,1,1,1,1,1,1,1,,,,,,
171,,THBUGM1-2,,,,,,1,1,1,1,1,1,1,,,,,,
172,,THBUGM1-3,,,,,,1,1,1,1,1,1,1,,,,,,
173,,THBUGM1-4,,,,,,1,1,1,1,1,1,1,,,,,,
174,,THBUGM1-5,,,,,,1,1,1,1,1,1,1,,,,,,
175,,THBUGM1-6,,,,,,1,1,1,1,1,1,1,,,,,,
176,,THBUGM1-7,,,,,,1,1,1,1,1,1,1,,,,,,
177,,THBUGM1-8,,,,,,1,1,1,1,1,1,1,,,,,,
